detector	pdb_id	partner	target	topology	resolution	orig_rank1_class	orig_rank1_score	orig_rank1_f_target	orig_rank1_f_fusion	orig_rank1_f_linker	orig_rank1_fusion_assoc	orig_rank1_recovers_ref	removed_rank1_class	removed_rank1_fusion_assoc	removed_rank1_recovers_ref	removed_rank1_dist_to_cut	ref_site_available	n_pockets_original
p2rank	6RZ4	BRIL	Q9Y271	INTERNAL_INSERTION	2.7	TARGET_DOMINATED	26.02	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	44.32	True	9
p2rank	6RZ7	BRIL	Q9NS75	INTERNAL_INSERTION	2.43	TARGET_DOMINATED	26.56	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	42.89	True	10
p2rank	6WSK	T4L	Q5M7A7	TERMINAL_N	1.55	INTERFACE	3.49	0.3571	0.5714	0.0714	True	False	TARGET_DOMINATED	False	False	44.36	False	4
p2rank	7UAJ	MBP	P03126	TERMINAL_N	3.25	FUSION_DOMINATED	27.73	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	17.77	False	6
p2rank	7YXA	BRIL	Q9H228	INTERNAL_INSERTION	2.2	TARGET_DOMINATED	31.31	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	40.27	True	5
p2rank	7ZL9	BRIL	Q8TDS4	TERMINAL_C	2.7	TARGET_DOMINATED	36.43	1.0	0.0	0.0	False	False	TARGET_DOMINATED	False	False	45.05	False	8
p2rank	9JRT	BRIL	P43116	INTERNAL_INSERTION	3.28	TARGET_DOMINATED	17.44	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	37.37	True	5
fpocket	3N94	MBP	P41586	TERMINAL_N	1.8	TARGET_DOMINATED	0.084	1.0	0.0	0.0	False	False	TARGET_DOMINATED	False	False	14.3	False	24
fpocket	3OAI	MBP	P25189	TERMINAL_N	2.1	FUSION_DOMINATED	0.146	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	9.61	False	22
fpocket	3ODU	T4L	P61073	INTERNAL_INSERTION	2.5	TARGET_DOMINATED	0.216	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	37.81	True	34
fpocket	4DJH	T4L	P41145	INTERNAL_INSERTION	2.9	TARGET_DOMINATED	0.124	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	51.11	True	27
fpocket	4JKV	BRIL	Q99835	TERMINAL_N	2.45	TARGET_DOMINATED	0.626	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	31.81	True	27
fpocket	4N6H	BRIL	P41143	TERMINAL_N	1.8	TARGET_DOMINATED	0.398	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	32.18	True	30
fpocket	4Z35	BRIL	Q92633	INTERNAL_INSERTION	2.9	INTERFACE	0.173	0.4231	0.5769	0.0	True	False	TARGET_DOMINATED	False	False	52.92	True	27
fpocket	5AZA	MBP	I6V0B8	TERMINAL_N	2.08	FUSION_DOMINATED	0.159	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	24.15	False	57
fpocket	5GPP	MBP	Q9I9N6	TERMINAL_N	2.0	FUSION_DOMINATED	0.347	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	25.68	False	35
fpocket	5H7Q	MBP	P41218	TERMINAL_N	1.451	FUSION_DOMINATED	0.266	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	10.13	False	32
fpocket	5JQE	MBP	Q14790	TERMINAL_N	3.157	INTERFACE	0.236	0.55	0.4	0.05	True	False	TARGET_DOMINATED	False	False	23.78	False	39
fpocket	5K94	MBP	P10408	COMPLEX	2.1	INTERFACE	0.198	0.5185	0.4815	0.0	True	False	TARGET_DOMINATED	False	False	16.06	False	29
fpocket	5YQR	T4L	Q08001	TERMINAL_N	2.402	FUSION_DOMINATED	0.32	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	28.12	False	14
fpocket	5ZBQ	T4L	P25929	TERMINAL_C	2.7	FUSION_DOMINATED	0.149	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	13.45	True	36
fpocket	6A73	T4L	P61201	TERMINAL_C	2.447	FUSION_DOMINATED	0.113	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	32.6	True	20
fpocket	6BG3	T4L	Q96GG9	TERMINAL_N	1.05	TARGET_DOMINATED	0.32	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	24.79	True	27
fpocket	6CM4	T4L	P14416	INTERNAL_INSERTION	2.867	TARGET_DOMINATED	0.152	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	46.57	True	28
fpocket	6RZ4	BRIL	Q9Y271	INTERNAL_INSERTION	2.7	FUSION_DOMINATED	0.146	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	41.48	True	28
fpocket	6RZ7	BRIL	Q9NS75	INTERNAL_INSERTION	2.43	FUSION_DOMINATED	0.212	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	31.92	True	19
fpocket	6WSK	T4L	Q5M7A7	TERMINAL_N	1.55	TARGET_DOMINATED	0.287	1.0	0.0	0.0	False	False	TARGET_DOMINATED	False	False	37.27	False	26
fpocket	7UAJ	MBP	P03126	TERMINAL_N	3.25	FUSION_DOMINATED	0.24	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	False	18.44	False	38
fpocket	7YXA	BRIL	Q9H228	INTERNAL_INSERTION	2.2	FUSION_DOMINATED	0.194	0.0	1.0	0.0	True	False	TARGET_DOMINATED	False	True	40.45	True	28
fpocket	7ZL9	BRIL	Q8TDS4	TERMINAL_C	2.7	FUSION_DOMINATED	0.13	0.0909	0.9091	0.0	True	False	TARGET_DOMINATED	False	False	19.02	False	27
fpocket	9JRT	BRIL	P43116	INTERNAL_INSERTION	3.28	TARGET_DOMINATED	0.184	1.0	0.0	0.0	False	True	TARGET_DOMINATED	False	True	36.21	True	22
