detector	pdb_id	partner	topology	orig_rank	removed_rank	rank_change	orig_score	removed_score	score_change	jaccard	overlap_coef	centroid_dist	n_shared_target_res	n_target_res_orig	n_target_res_removed	orig_class	fusion_assoc_above_in_original	orig_recovers_ref	removed_recovers_ref
p2rank	5ZBQ	T4L	TERMINAL_C	4	3	1	1.76	1.76	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	1	False	False
p2rank	5ZBQ	T4L	TERMINAL_C	6	4	2	1.03	1.03	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	2	False	False
p2rank	5ZBQ	T4L	TERMINAL_C	7	5	2	0.97	0.97	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	2	False	False
p2rank	5ZBQ	T4L	TERMINAL_C	8	6	2	0.92	0.92	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	2	False	False
p2rank	6A73	T4L	TERMINAL_C	3	1	2	1.43	1.43	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	2	True	True
p2rank	6BG3	T4L	TERMINAL_N	1	1	0	12.32	12.32	0.0	1.0	1.0	0.0	19	19	19	TARGET_DOMINATED	0	True	True
p2rank	6BG3	T4L	TERMINAL_N	6	2	4	0.82	0.82	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	4	False	False
p2rank	6CM4	T4L	INTERNAL_INSERTION	1	1	0	36.25	36.25	0.0	1.0	1.0	0.0	25	25	25	TARGET_DOMINATED	0	True	True
p2rank	6CM4	T4L	INTERNAL_INSERTION	2	2	0	3.32	3.32	0.0	1.0	1.0	0.0	13	13	13	TARGET_DOMINATED	0	False	False
p2rank	6CM4	T4L	INTERNAL_INSERTION	3	3	0	2.0	2.0	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	0	False	False
p2rank	6CM4	T4L	INTERNAL_INSERTION	4	4	0	1.8	1.8	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	6CM4	T4L	INTERNAL_INSERTION	6	5	1	1.49	1.49	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	1	False	False
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	1	1	0	26.02	26.02	0.0	1.0	1.0	0.0	32	32	32	TARGET_DOMINATED	0	True	True
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	2	2	0	5.51	4.93	-0.5800000000000001	1.0	1.0	0.0	14	14	14	TARGET_DOMINATED	0	False	False
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	4	3	1	4.32	4.32	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	1	False	False
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	5	4	1	4.05	4.05	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	1	False	False
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	6	5	1	3.69	3.69	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	1	False	False
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	7	6	1	2.7	2.7	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	1	True	True
p2rank	6RZ4	BRIL	INTERNAL_INSERTION	9	7	2	1.1	1.1	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	1	False	False
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	1	1	0	26.56	26.56	0.0	1.0	1.0	0.0	30	30	30	TARGET_DOMINATED	0	True	True
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	2	2	0	13.09	13.09	0.0	1.0	1.0	0.0	16	16	16	TARGET_DOMINATED	0	True	True
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	3	3	0	4.11	4.11	0.0	1.0	1.0	0.0	15	15	15	TARGET_DOMINATED	0	False	False
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	4	4	0	2.47	2.47	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	5	5	0	2.11	2.11	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	0	False	False
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	7	6	1	1.78	1.78	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	1	False	False
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	9	7	2	1.11	1.11	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	2	False	False
p2rank	6RZ7	BRIL	INTERNAL_INSERTION	10	8	2	0.9	0.9	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	2	False	False
p2rank	6WSK	T4L	TERMINAL_N	2	1	1	1.47	1.47	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	6WSK	T4L	TERMINAL_N	3	2	1	1.13	1.13	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	7UAJ	MBP	TERMINAL_N	6	1	5	0.97	0.97	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	5	False	False
p2rank	7YXA	BRIL	INTERNAL_INSERTION	1	1	0	31.31	31.31	0.0	1.0	1.0	0.0	37	37	37	TARGET_DOMINATED	0	True	True
p2rank	7YXA	BRIL	INTERNAL_INSERTION	3	2	1	1.58	1.58	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	1	False	False
p2rank	7YXA	BRIL	INTERNAL_INSERTION	4	3	1	1.42	1.42	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	1	False	False
p2rank	7YXA	BRIL	INTERNAL_INSERTION	5	4	1	0.76	0.76	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	1	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	1	1	0	36.43	36.43	0.0	1.0	1.0	0.0	35	35	35	TARGET_DOMINATED	0	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	2	2	0	2.55	2.55	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	3	3	0	2.3	2.3	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	0	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	4	4	0	1.92	1.92	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	0	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	6	5	1	1.45	1.45	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	7	6	1	1.37	1.37	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	1	False	False
p2rank	7ZL9	BRIL	TERMINAL_C	8	7	1	1.12	1.12	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	1	False	False
p2rank	9JRT	BRIL	INTERNAL_INSERTION	1	1	0	17.44	17.44	0.0	1.0	1.0	0.0	26	26	26	TARGET_DOMINATED	0	True	True
p2rank	9JRT	BRIL	INTERNAL_INSERTION	2	2	0	2.72	2.72	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	0	False	False
p2rank	9JRT	BRIL	INTERNAL_INSERTION	3	3	0	2.08	1.89	-0.19000000000000017	0.889	1.0	0.74	8	9	8	TARGET_DOMINATED	0	False	False
p2rank	9JRT	BRIL	INTERNAL_INSERTION	4	4	0	1.55	1.55	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
fpocket	3N94	MBP	TERMINAL_N	1	2	-1	0.084	0.374	0.29	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
fpocket	3N94	MBP	TERMINAL_N	2	1	1	0.036	0.47	0.434	1.0	1.0	0.0	13	13	13	TARGET_DOMINATED	0	False	False
fpocket	3N94	MBP	TERMINAL_N	7	4	3	-0.021	0.135	0.156	1.0	1.0	0.0	5	5	5	MIXED	4	False	False
fpocket	3N94	MBP	TERMINAL_N	14	3	11	-0.058	0.16	0.218	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	10	False	False
fpocket	3OAI	MBP	TERMINAL_N	3	1	2	0.064	0.478	0.414	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	2	False	False
fpocket	3OAI	MBP	TERMINAL_N	19	2	17	-0.117	0.251	0.368	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	17	False	False
fpocket	3OAI	MBP	TERMINAL_N	20	3	17	-0.17	0.242	0.41200000000000003	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	17	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	1	1	0	0.216	0.216	0.0	1.0	1.0	0.0	21	21	21	TARGET_DOMINATED	0	True	True
fpocket	3ODU	T4L	INTERNAL_INSERTION	2	2	0	0.123	0.123	0.0	1.0	1.0	0.0	17	17	17	TARGET_DOMINATED	0	True	True
fpocket	3ODU	T4L	INTERNAL_INSERTION	3	3	0	0.109	0.109	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	0	True	True
fpocket	3ODU	T4L	INTERNAL_INSERTION	4	6	-2	0.093	0.073	-0.020000000000000004	1.0	1.0	0.0	13	13	13	TARGET_DOMINATED	0	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	5	4	1	0.079	0.079	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	0	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	6	5	1	0.078	0.078	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	0	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	11	7	4	0.048	0.048	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	4	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	13	8	5	0.022	0.022	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	14	9	5	0.007	0.007	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	15	10	5	0.006	0.006	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	16	11	5	-0.0	-0.0	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	18	12	6	-0.01	-0.01	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	19	13	6	-0.014	-0.014	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	20	14	6	-0.022	-0.022	0.0	1.0	1.0	0.0	12	12	12	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	21	15	6	-0.024	-0.024	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	22	17	5	-0.028	-0.028	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	5	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	24	18	6	-0.033	-0.033	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	6	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	25	19	6	-0.041	-0.041	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	6	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	28	20	8	-0.073	-0.073	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	8	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	29	21	8	-0.11	-0.085	0.024999999999999994	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	8	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	30	16	14	-0.112	-0.026	0.08600000000000001	0.818	1.0	0.86	9	11	9	INTERFACE	8	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	31	22	9	-0.117	-0.117	0.0	1.0	1.0	0.0	4	4	4	UNASSIGNED	9	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	32	23	9	-0.166	-0.166	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	9	False	False
fpocket	3ODU	T4L	INTERNAL_INSERTION	33	24	9	-0.172	-0.172	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	9	True	True
fpocket	4DJH	T4L	INTERNAL_INSERTION	1	1	0	0.124	0.124	0.0	1.0	1.0	0.0	34	34	34	TARGET_DOMINATED	0	True	True
fpocket	4DJH	T4L	INTERNAL_INSERTION	2	2	0	0.086	0.086	0.0	1.0	1.0	0.0	13	13	13	TARGET_DOMINATED	0	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	3	3	0	0.07	0.07	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	4	4	0	0.053	0.053	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	6	5	1	0.022	0.022	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	1	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	10	6	4	-0.01	-0.01	0.0	1.0	1.0	0.0	17	17	17	TARGET_DOMINATED	4	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	11	7	4	-0.014	-0.014	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	4	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	12	8	4	-0.014	-0.014	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	4	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	13	9	4	-0.022	-0.022	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	4	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	14	10	4	-0.042	-0.042	0.0	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	4	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	15	11	4	-0.047	-0.047	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	4	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	18	12	6	-0.058	-0.058	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	6	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	19	13	6	-0.067	-0.067	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	6	True	True
fpocket	4DJH	T4L	INTERNAL_INSERTION	21	14	7	-0.127	-0.127	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	7	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	22	15	7	-0.138	-0.138	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	7	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	23	16	7	-0.14	-0.14	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	7	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	26	17	9	-0.202	-0.202	0.0	1.0	1.0	0.0	16	16	16	TARGET_DOMINATED	9	False	False
fpocket	4DJH	T4L	INTERNAL_INSERTION	27	18	9	-0.205	-0.28	-0.07500000000000004	1.0	1.0	0.0	19	19	19	TARGET_DOMINATED	9	False	False
fpocket	4JKV	BRIL	TERMINAL_N	1	1	0	0.626	0.628	0.0020000000000000018	0.979	1.0	0.27	46	46	47	TARGET_DOMINATED	0	True	True
fpocket	4JKV	BRIL	TERMINAL_N	2	3	-1	0.063	0.063	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	3	4	-1	0.051	0.051	0.0	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	4	5	-1	0.029	0.028	-0.0010000000000000009	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	5	7	-2	0.014	0.013	-0.0010000000000000009	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	6	8	-2	0.008	0.007	-0.001	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	7	9	-2	0.0	-0.001	-0.001	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	8	10	-2	-0.006	-0.007	-0.001	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	9	12	-3	-0.018	-0.018	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	10	15	-5	-0.039	-0.04	-0.0010000000000000009	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	11	16	-5	-0.055	-0.056	-0.0010000000000000009	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	13	17	-4	-0.069	-0.07	-0.0010000000000000009	1.0	1.0	0.0	12	12	12	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	14	14	0	-0.081	-0.038	0.043000000000000003	1.0	1.0	0.0	14	14	14	TARGET_DOMINATED	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	15	6	9	-0.082	0.018	0.1	0.7	1.0	3.65	7	10	7	INTERFACE	0	False	False
fpocket	4JKV	BRIL	TERMINAL_N	16	13	3	-0.084	-0.027	0.05700000000000001	0.846	1.0	1.31	11	13	11	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	17	18	-1	-0.092	-0.093	-0.0010000000000000009	1.0	1.0	0.0	12	12	12	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	18	19	-1	-0.094	-0.095	-0.0010000000000000009	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	19	20	-1	-0.096	-0.098	-0.0020000000000000018	1.0	1.0	0.0	10	10	10	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	20	21	-1	-0.108	-0.109	-0.0010000000000000009	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	21	22	-1	-0.112	-0.112	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	22	23	-1	-0.117	-0.117	0.0	1.0	1.0	0.0	5	5	5	TARGET_DOMINATED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	23	24	-1	-0.144	-0.145	-0.0010000000000000009	1.0	1.0	0.0	4	4	4	UNASSIGNED	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	24	11	13	-0.167	-0.016	0.15100000000000002	0.9	1.0	0.66	9	10	9	INTERFACE	1	False	False
fpocket	4JKV	BRIL	TERMINAL_N	27	25	2	-0.19	-0.191	-0.0010000000000000009	1.0	1.0	0.0	11	11	11	TARGET_DOMINATED	4	False	False
fpocket	4N6H	BRIL	TERMINAL_N	1	1	0	0.398	0.398	0.0	1.0	1.0	0.0	27	27	27	TARGET_DOMINATED	0	True	True
fpocket	4N6H	BRIL	TERMINAL_N	2	2	0	0.14	0.14	0.0	1.0	1.0	0.0	16	16	16	TARGET_DOMINATED	0	False	False
fpocket	4N6H	BRIL	TERMINAL_N	6	3	3	0.052	0.052	0.0	1.0	1.0	0.0	6	6	6	TARGET_DOMINATED	3	False	False
fpocket	4N6H	BRIL	TERMINAL_N	7	4	3	0.029	0.029	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	3	False	False
fpocket	4N6H	BRIL	TERMINAL_N	9	5	4	0.025	0.025	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	4	False	False
fpocket	4N6H	BRIL	TERMINAL_N	11	6	5	0.016	0.016	0.0	1.0	1.0	0.0	9	9	9	TARGET_DOMINATED	5	False	False
fpocket	4N6H	BRIL	TERMINAL_N	12	7	5	0.014	0.014	0.0	1.0	1.0	0.0	8	8	8	TARGET_DOMINATED	5	False	False
fpocket	4N6H	BRIL	TERMINAL_N	13	8	5	0.014	0.014	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	5	False	False
fpocket	4N6H	BRIL	TERMINAL_N	15	9	6	-0.004	-0.004	0.0	1.0	1.0	0.0	7	7	7	TARGET_DOMINATED	6	False	False
fpocket	4N6H	BRIL	TERMINAL_N	16	10	6	-0.007	-0.007	0.0	1.0	1.0	0.0	13	13	13	TARGET_DOMINATED	6	False	False
