detector	pdb_id	partner	target	rank1_class	f_fusion	n_fusion_residues_in_pocket	isolated_n_pockets	best_jaccard	best_isolated_rank	centroid_dist	probe_state	mechanism
p2rank	8H68	MBP	Q8MNT9	FUSION_DOMINATED	0.8438	27	5	0.963	1	0.44	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	8IIZ	MBP	O95619	FUSION_DOMINATED	1.0	22	3	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	8SBU	MBP	Q59028	FUSION_DOMINATED	1.0	23	5	0.913	1	0.98	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
p2rank	8SVY	MBP	Q07820	FUSION_DOMINATED	1.0	22	6	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	1HSJ	MBP	Q9F0R1	FUSION_DOMINATED	1.0	8	26	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	1R6Z	MBP	Q9VUQ5	FUSION_DOMINATED	1.0	11	26	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	2VGQ	MBP	Q7Z434	FUSION_DOMINATED	1.0	7	25	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3A3C	MBP	P36046	FUSION_DOMINATED	1.0	17	23	0.944	1	0.8	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3EHS	MBP	P34998	FUSION_DOMINATED	1.0	14	21	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3F5F	MBP	Q76KB1	FUSION_DOMINATED	1.0	22	22	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3H4Z	MBP	P49273	INTERFACE	0.6383	30	26	0.733	6	3.47	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	3MP6	MBP	P25554	FUSION_DOMINATED	1.0	11	23	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3N93	MBP	Q13324	FUSION_DOMINATED	1.0	22	25	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3O3U	MBP	Q15109	FUSION_DOMINATED	1.0	23	16	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3OB4	MBP	A5Z1Q8	FUSION_DOMINATED	1.0	10	22	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	3PBL	T4L	P35462	INTERFACE	0.6047	26	9	0.846	7	2.07	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	3PY7	MBP	P06931	FUSION_DOMINATED	0.7	7	20	0.143	17	8.64	NO_MATCHING_CAVITY	CHIMERA_SPECIFIC_FUSION_CAVITY
fpocket	4B3N	MBP	Q0PF16	FUSION_DOMINATED	1.0	15	26	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4BL9	MBP	Q9UMX1	INTERFACE	0.5714	19	22	0.632	7	4.18	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	4DXB	MBP	P62593	FUSION_DOMINATED	0.7273	16	26	0.455	10	5.52	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4EDQ	MBP	O70468	FUSION_DOMINATED	1.0	26	23	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4EGC	MBP	Q15475	FUSION_DOMINATED	1.0	10	16	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4EPI	T4L	Q57159	INTERFACE	0.5	9	9	0.071	7	14.53	NO_MATCHING_CAVITY	TARGET_FUSION_INTERFACE
fpocket	4EXK	MBP	A0A0F6B1U8	FUSION_DOMINATED	1.0	14	17	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4IFP	MBP	Q9C000	FUSION_DOMINATED	0.7	8	21	0.8	15	2.3	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4IKM	MBP	Q9Y2G2	FUSION_DOMINATED	1.0	21	24	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4IRL	MBP	B0V1H4	FUSION_DOMINATED	1.0	11	21	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4LOG	MBP	Q9Y5X4	FUSION_DOMINATED	1.0	12	20	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4NUF	MBP	Q62227	FUSION_DOMINATED	0.9583	23	24	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4PQK	MBP	B1B3N6	FUSION_DOMINATED	1.0	27	16	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	4QVH	MBP	O33336	FUSION_DOMINATED	1.0	21	21	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5EDU	MBP	Q9UBN7	INTERFACE	0.6	7	26	0.778	14	1.82	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	5FSG	MBP	P05133	FUSION_DOMINATED	1.0	8	28	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5H7N	MBP	P59046	FUSION_DOMINATED	1.0	8	25	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5II5	MBP	Q8WR62	FUSION_DOMINATED	1.0	21	29	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5OSQ	MBP	P10761	FUSION_DOMINATED	1.0	8	22	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5TTD	MBP	D2KPJ6	FUSION_DOMINATED	1.0	7	14	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5VAW	MBP	A0A0D5YCX7	FUSION_DOMINATED	1.0	8	20	1.0	4	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5W0R	MBP	Q9GZX7	FUSION_DOMINATED	1.0	8	21	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	5YGP	MBP	Q93038	FUSION_DOMINATED	1.0	22	26	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6D27	T4L	Q9Y5Y4	INTERFACE	0.3171	13	9	0.538	2	4.11	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	6D66	MBP	P28562	FUSION_DOMINATED	1.0	20	11	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6DD5	MBP	F2K1V9	FUSION_DOMINATED	1.0	8	23	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6DM8	MBP	P97287	FUSION_DOMINATED	1.0	13	20	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6K7E	MBP	P53220	FUSION_DOMINATED	1.0	13	18	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6KI0	MBP	Q9ULZ3	INTERFACE	0.3333	10	22	0.909	4	1.41	MATCHED_INTRINSIC_CAVITY	TARGET_FUSION_INTERFACE
fpocket	6M97	BRIL	C0HAK2	FUSION_DOMINATED	0.7273	8	7	0.571	1	3.08	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6VLS	MBP	W8GI72	FUSION_DOMINATED	1.0	20	28	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6XDS	MBP	Q9NZC2	FUSION_DOMINATED	1.0	10	25	1.0	2	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	6ZX9	T4L	A4UDG5	FUSION_DOMINATED	1.0	9	11	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7B01	MBP	Q76LX8	FUSION_DOMINATED	1.0	7	24	1.0	3	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7CY6	MBP	A0A2K3D5Z7	FUSION_DOMINATED	1.0	10	21	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7MHW	MBP	Q2YLR6	FUSION_DOMINATED	1.0	11	19	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7T31	MBP	Q185H8	FUSION_DOMINATED	1.0	30	16	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	7Z36	T4L	Q13263	FUSION_DOMINATED	1.0	31	7	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8C5L	MBP	P10588	FUSION_DOMINATED	1.0	21	23	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8DEI	MBP	Q12495	FUSION_DOMINATED	1.0	9	23	0.0			NO_MATCHING_CAVITY	CHIMERA_SPECIFIC_FUSION_CAVITY
fpocket	8DX4	MBP	A0A0H3N4W9	FUSION_DOMINATED	1.0	8	19	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8H68	MBP	Q8MNT9	FUSION_DOMINATED	0.8333	25	22	0.96	4	0.44	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8IIZ	MBP	O95619	FUSION_DOMINATED	1.0	30	17	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8JJ8	BRIL	P07550	FUSION_DOMINATED	1.0	8	4	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8SBU	MBP	Q59028	FUSION_DOMINATED	1.0	12	17	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	8SVY	MBP	Q07820	FUSION_DOMINATED	1.0	13	19	1.0	1	0.0	MATCHED_INTRINSIC_CAVITY	FUSION_INTRINSIC_CAVITY
fpocket	9CUG	BRIL	Q15306	INTERFACE	0.3333	5	7	0.0			NO_MATCHING_CAVITY	TARGET_FUSION_INTERFACE
