detector	displacement	note	original_rank	partner	pdb_id	removed_rank	state	target
p2rank				MBP	4H1G	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	C4YKK8
p2rank				BRIL	4IAR	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28222
p2rank				BRIL	4IB4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P41595
p2rank				MBP	4IFP		DETECTOR_ABSTENTION	Q9C000
p2rank				MBP	4IKM	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y2G2
p2rank				MBP	4IRL		DETECTOR_ABSTENTION	B0V1H4
p2rank				T4L	4K5Y	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P34998
p2rank				BRIL	4L6R	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P47871
p2rank		removed rank-1 cavity has <3 target residues		MBP	4LOG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y5X4
p2rank		removed rank-1 cavity has <3 target residues		T4L	4N9N	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q12151
p2rank				MBP	4NUF		DETECTOR_ABSTENTION	Q62227
p2rank		removed rank-1 cavity has <3 target residues		BRIL	4OR2	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q13255
p2rank				MBP	4PQK		DETECTOR_ABSTENTION	B1B3N6
p2rank				BRIL	4PXZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9H244
p2rank				MBP	4QSZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P0C872
p2rank		removed rank-1 cavity has <3 target residues		MBP	4QVH	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O33336
p2rank				T4L	4TN3	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	G9MAP5
p2rank				T4L	4WTV	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8TCG2
p2rank				T4L	4XES	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P20789
p2rank				BRIL	4ZUD	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P30556
p2rank				T4L	5B2G	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O14493
p2rank				T4L	5DSG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08173
p2rank				T4L	5EE7	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P47871
p2rank				T4L	5EUT	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9BTU6
p2rank				MBP	5FSG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P05133
p2rank				MBP	5H7N		DETECTOR_ABSTENTION	P59046
p2rank				MBP	5I04	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P17813
p2rank				MBP	5II5		DETECTOR_ABSTENTION	Q8WR62
p2rank				BRIL	5N2S	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P30542
p2rank				BRIL	5NM4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P29274
p2rank				MBP	5OSQ		DETECTOR_ABSTENTION	P10761
p2rank				T4L	5T1A	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P41597
p2rank				MBP	5TTD		DETECTOR_ABSTENTION	D2KPJ6
p2rank				T4L	5TZR	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O14842
p2rank				BRIL	5UNF	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P50052
p2rank				MBP	5VAW		DETECTOR_ABSTENTION	A0A0D5YCX7
p2rank				T4L	5VEW	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P43220
p2rank				BRIL	5WIU	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P21917
p2rank				T4L	5X93	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P24530
p2rank				T4L	5XSZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q08BG4
p2rank				MBP	5Y2G		DETECTOR_ABSTENTION	P09879
p2rank				MBP	5YGP		DETECTOR_ABSTENTION	Q93038
p2rank				T4L	5ZHP	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08483
p2rank				BRIL	5ZKC	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08172
p2rank				BRIL	6BQG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28335
p2rank				BRIL	6C1Q	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P21730
p2rank				BRIL	6CC4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P0AF16
p2rank				T4L	6D27	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y5Y4
p2rank		removed rank-1 cavity has <3 target residues		MBP	6D66	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28562
p2rank				T4L	6D9M	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q39UD1
p2rank				MBP	6DD5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	F2K1V9
p2rank				MBP	6DM8	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P97287
p2rank				MBP	6EG3	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P51531
p2rank				T4L	6FFI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P41594
p2rank				BRIL	6G7O	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9NUN7
p2rank				T4L	6IIH	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8IYU8
p2rank		removed rank-1 cavity has <3 target residues		BRIL	6IQL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P51436
p2rank				T4L	6J20	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25103
p2rank				MBP	6K7E	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P53220
p2rank				MBP	6KI0		DETECTOR_ABSTENTION	Q9ULZ3
p2rank				BRIL	6KO5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q92847
p2rank				T4L	6KPC	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P34972
p2rank				BRIL	6LW5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25090
p2rank				BRIL	6M97	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	C0HAK2
p2rank				T4L	6M9T	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P43115
p2rank				MBP	6VLS	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	W8GI72
p2rank				MBP	6XDS	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9NZC2
p2rank				MBP	6XRX	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8T5C5
p2rank				T4L	6XYR	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P0DP23
p2rank				T4L	6ZFZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P11229
p2rank				T4L	6ZX9	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A4UDG5
p2rank				MBP	7B01	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q76LX8
p2rank				MBP	7CY6	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A2K3D5Z7
p2rank				T4L	7F8Y	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P32238
p2rank				MBP	7MHW		DETECTOR_ABSTENTION	Q2YLR6
p2rank				MBP	7T31	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q185H8
p2rank				BRIL	7WC8	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28223
p2rank				MBP	7WR3	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0H2US87
p2rank				T4L	7Z36	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q13263
p2rank		removed rank-1 cavity has <3 target residues		MBP	8C5L	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P10588
p2rank				MBP	8DEI		DETECTOR_ABSTENTION	Q12495
p2rank				MBP	8DX4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0H3N4W9
p2rank				MBP	8H68	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8MNT9
p2rank				MBP	8IIZ		DETECTOR_ABSTENTION	O95619
p2rank				BRIL	8JJ8	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P07550
p2rank				BRIL	8S4D	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35414
p2rank				MBP	8SBU	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q59028
p2rank				MBP	8SVY	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q07820
p2rank				BRIL	8TF5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P46095
p2rank				BRIL	9CUG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q15306
p2rank				BRIL	9IYA	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y2T6
p2rank				BRIL	9QP4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P03999
p2rank				BRIL	9W32	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35346
fpocket				BRIL	11TF	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P51679
fpocket				MBP	1HSJ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9F0R1
fpocket		removed rank-1 cavity has <3 target residues		MBP	1R6Z	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9VUQ5
fpocket				T4L	29AJ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q5VT66
fpocket				T4L	2RH1	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P07550
fpocket				MBP	2VGQ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q7Z434
fpocket				MBP	3A3C	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P36046
fpocket				MBP	3DM0	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O24456
fpocket				MBP	3EHS	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P34998
fpocket				T4L	3EML	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P29274
fpocket				MBP	3F5F	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q76KB1
fpocket				MBP	3H4Z	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P49273
fpocket				MBP	3MP6	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25554
fpocket		removed rank-1 cavity has <3 target residues		MBP	3N93	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q13324
fpocket				MBP	3O3U	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q15109
fpocket				MBP	3OB4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A5Z1Q8
fpocket				T4L	3PBL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35462
fpocket				MBP	3PY7	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P06931
fpocket				T4L	3RZE	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35367
fpocket				BRIL	3U8P	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P42212
fpocket				T4L	3UON	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08172
fpocket				T4L	3V2Y	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P21453
fpocket				T4L	3VW7	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25116
fpocket				MBP	3WAI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O29867
fpocket				MBP	4B3N	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q0PF16
fpocket				MBP	4BL9	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9UMX1
fpocket		removed rank-1 cavity has <3 target residues		T4L	4DKL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P42866
fpocket				MBP	4DXB	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P62593
fpocket				MBP	4EDQ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O70468
fpocket				MBP	4EGC	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q15475
fpocket				T4L	4EJ4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P32300
fpocket				T4L	4EPI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q57159
fpocket				MBP	4EXK	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0F6B1U8
fpocket				MBP	4H1G	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	C4YKK8
fpocket				BRIL	4IAR	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28222
fpocket				BRIL	4IB4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P41595
fpocket				MBP	4IFP	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9C000
fpocket				MBP	4IKM	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y2G2
fpocket				MBP	4IRL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	B0V1H4
fpocket				T4L	4K5Y	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P34998
fpocket				BRIL	4L6R	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P47871
fpocket		removed rank-1 cavity has <3 target residues		MBP	4LOG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y5X4
fpocket		removed rank-1 cavity has <3 target residues		T4L	4N9N	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q12151
fpocket				MBP	4NUF	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q62227
fpocket				BRIL	4OR2	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q13255
fpocket				MBP	4PQK	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	B1B3N6
fpocket				BRIL	4PXZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9H244
fpocket				MBP	4QSZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P0C872
fpocket		removed rank-1 cavity has <3 target residues		MBP	4QVH	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O33336
fpocket				T4L	4TN3	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	G9MAP5
fpocket				T4L	4WTV	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8TCG2
fpocket				T4L	4XES	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P20789
fpocket				BRIL	4ZUD	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P30556
fpocket				T4L	5B2G	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O14493
fpocket				T4L	5DSG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08173
fpocket				T4L	5EE7	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P47871
fpocket				T4L	5EUT	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9BTU6
fpocket				MBP	5FSG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P05133
fpocket				MBP	5H7N	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P59046
fpocket				MBP	5I04	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P17813
fpocket				MBP	5II5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8WR62
fpocket				BRIL	5N2S	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P30542
fpocket				BRIL	5NM4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P29274
fpocket				MBP	5OSQ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P10761
fpocket				T4L	5T1A	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P41597
fpocket				MBP	5TTD	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	D2KPJ6
fpocket				T4L	5TZR	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O14842
fpocket		removed rank-1 cavity has <3 target residues		BRIL	5UNF	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P50052
fpocket				MBP	5VAW	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0D5YCX7
fpocket				T4L	5VEW	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P43220
fpocket				BRIL	5WIU	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P21917
fpocket				T4L	5X93	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P24530
fpocket				T4L	5XSZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q08BG4
fpocket				MBP	5Y2G	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P09879
fpocket				MBP	5YGP	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q93038
fpocket				T4L	5ZHP	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08483
fpocket				BRIL	5ZKC	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P08172
fpocket				BRIL	6BQG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28335
fpocket				BRIL	6C1Q	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P21730
fpocket				BRIL	6CC4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P0AF16
fpocket				T4L	6D27	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y5Y4
fpocket		removed rank-1 cavity has <3 target residues		MBP	6D66	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28562
fpocket				T4L	6D9M	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q39UD1
fpocket				MBP	6DD5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	F2K1V9
fpocket				MBP	6DM8	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P97287
fpocket				MBP	6EG3	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P51531
fpocket				T4L	6FFI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P41594
fpocket				BRIL	6G7O	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9NUN7
fpocket		removed rank-1 cavity has <3 target residues		T4L	6IIH	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8IYU8
fpocket				BRIL	6IQL	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P51436
fpocket				T4L	6J20	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25103
fpocket				MBP	6K7E	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P53220
fpocket				MBP	6KI0	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9ULZ3
fpocket		removed rank-1 cavity has <3 target residues		BRIL	6KO5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q92847
fpocket				T4L	6KPC	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P34972
fpocket				BRIL	6LW5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P25090
fpocket		removed rank-1 cavity has <3 target residues		BRIL	6M97	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	C0HAK2
fpocket				T4L	6M9T	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P43115
fpocket				MBP	6VLS	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	W8GI72
fpocket				MBP	6XDS	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9NZC2
fpocket				MBP	6XRX	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8T5C5
fpocket				T4L	6XYR	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P0DP23
fpocket				T4L	6ZFZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P11229
fpocket				T4L	6ZX9	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A4UDG5
fpocket				MBP	7B01	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q76LX8
fpocket				MBP	7CY6	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A2K3D5Z7
fpocket				T4L	7F8Y	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P32238
fpocket				MBP	7MHW	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q2YLR6
fpocket				MBP	7T31	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q185H8
fpocket				BRIL	7WC8	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P28223
fpocket				MBP	7WR3	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0H2US87
fpocket		removed rank-1 cavity has <3 target residues		T4L	7Z36	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q13263
fpocket		removed rank-1 cavity has <3 target residues		MBP	8C5L	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P10588
fpocket				MBP	8DEI	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q12495
fpocket				MBP	8DX4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	A0A0H3N4W9
fpocket				MBP	8H68	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q8MNT9
fpocket				MBP	8IIZ	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	O95619
fpocket				BRIL	8JJ8	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P07550
fpocket				BRIL	8S4D	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P35414
fpocket				MBP	8SBU	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q59028
fpocket				MBP	8SVY	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q07820
fpocket				BRIL	8TF5	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P46095
fpocket		removed rank-1 cavity has <3 target residues		BRIL	9CUG	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q15306
fpocket		removed rank-1 cavity has <3 target residues		BRIL	9IYA	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	Q9Y2T6
fpocket				BRIL	9QP4	1	TARGET_CAVITY_NOT_RECOVERED_IN_ORIGINAL	P03999
