fusion_partner	target_accession	pdb_id	entity_id	representative_chain	resolution	method	topology	n_structures_for_this_target
T4L	P07550	2RH1	2RH1_1	A	2.4	X-RAY DIFFRACTION	INTERNAL_INSERTION	21
T4L	P08172	3UON	3UON_1	A	3.0	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P08173	5DSG	5DSG_1	A	2.6	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P08483	5ZHP	5ZHP_1	A	3.1	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
T4L	P0DP23	6XYR	6XYR_1	A	2.079	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	P11229	6ZFZ	6ZFZ_1	A	2.17	X-RAY DIFFRACTION	INTERNAL_INSERTION	4
T4L	P14416	6CM4	6CM4_1	A	2.867	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P20789	4XES	4XES_1	A	2.6	X-RAY DIFFRACTION	TERMINAL_C	4
T4L	P21453	3V2Y	3V2Y_1	A	2.8	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
T4L	P24530	5X93	5X93_1	A	2.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	4
T4L	P25103	6J20	6J20_1	A	2.7	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
T4L	P25116	3VW7	3VW7_1	A	2.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P25929	5ZBQ	5ZBQ_1	A	2.7	X-RAY DIFFRACTION	TERMINAL_C	2
T4L	P29274	3EML	3EML_1	A	2.6	X-RAY DIFFRACTION	INTERNAL_INSERTION	4
T4L	P32238	7F8Y	7F8Y_1	A	2.5	X-RAY DIFFRACTION	INTERNAL_INSERTION	3
T4L	P32300	4EJ4	4EJ4_1	A	3.4	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P34972	6KPC	6KPC_1	A	3.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P34998	4K5Y	4K5Y_1	A	2.977	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P35367	3RZE	3RZE_1	A	3.1	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P35462	3PBL	3PBL_1	A	2.89	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P41145	4DJH	4DJH_1	A	2.9	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P41594	6FFI	6FFI_1	A	2.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	8
T4L	P41597	5T1A	5T1A_1	A	2.806	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P42866	4DKL	4DKL_1	A	2.8	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P43115	6M9T	6M9T_1	A	2.5	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	P43220	5VEW	5VEW_1	A	2.7	X-RAY DIFFRACTION	INTERNAL_INSERTION	5
T4L	P47871	5EE7	5EE7_1	A	2.5	X-RAY DIFFRACTION	INTERNAL_INSERTION	4
T4L	P61073	3ODU	3ODU_1	A	2.5	X-RAY DIFFRACTION	INTERNAL_INSERTION	6
T4L	P61201	6A73	6A73_1	A	2.447	X-RAY DIFFRACTION	TERMINAL_C	1
T4L	Q08001	5YQR	5YQR_1	A	2.402	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	Q08BG4	5XSZ	5XSZ_1	A	3.2	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	Q12151	4N9N	4N9N_1	A	2.9	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	Q13263	7Z36	7Z36_1	A	2.8	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	Q39UD1	6D9M	6D9M_1	A	1.35	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	Q57159	4EPI	4EPI_1	A	1.74	X-RAY DIFFRACTION	COMPLEX	3
T4L	Q5M7A7	6WSK	6WSK_1	A	1.55	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	Q5VT66	29AJ	29AJ_1	D	1.63	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
T4L	Q8IYU8	6IIH	6IIH_1	A	1.958	X-RAY DIFFRACTION	TERMINAL_N	1
T4L	Q8TCG2	4WTV	4WTV_1	A	1.9	X-RAY DIFFRACTION	INTERNAL_INSERTION	3
T4L	Q96GG9	6BG3	6BG3_1	A	1.05	X-RAY DIFFRACTION	TERMINAL_N	5
T4L	Q9BTU6	5EUT	5EUT_1	A	2.802	X-RAY DIFFRACTION	INTERNAL_INSERTION	1
T4L	Q9Y5Y4	6D27	6D27_1	A	2.738	X-RAY DIFFRACTION	INTERNAL_INSERTION	2
