entity_id	pdb_id	fusion_partner	fusion_accession	target_accession	topology	method	resolution	representative_chain	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	target_also_in_development_under_other_partner	description
5IUA_1	5IUA	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	A	433	295	90	0.0296	0.1509	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5IU8_1	5IU8	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.002	A	433	294	90	0.0329	0.1509	0.9922	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5IU7_1	5IU7	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	A	433	296	90	0.0263	0.1429	0.9847	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5IU4_1	5IU4	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.72	A	433	294	90	0.0423	0.1429	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
4ZUD_1	4ZUD	BRIL	P0ABE7	P30556	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	410	268	105	0.1096	0.0094	0.992	False	Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor
4PY0_1	4PY0	BRIL	P0ABE7	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	A	466	283	106	0.1701	0.0	1.0	False	P2Y purinoceptor 12, Soluble cytochrome b562
4PXZ_1	4PXZ	BRIL	P0ABE7	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	466	286	106	0.1613	0.0	1.0	False	P2Y purinoceptor 12, Soluble cytochrome b562
4OR2_1	4OR2	BRIL	P0ABE7	Q13255	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	389	255	105	0.0893	0.0094	1.0	False	Soluble cytochrome b562, Metabotropic glutamate receptor 1
4NTJ_1	4NTJ	BRIL	P0ABE7	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.62	A	466	273	96	0.1994	0.0943	1.0	False	P2Y purinoceptor 12,Soluble cytochrome b562,P2Y purinoceptor 12
5NLX_1	5NLX	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.14	A	433	293	86	0.0425	0.181	0.9921	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5OLG_1	5OLG	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.87	A	434	294	92	0.0392	0.1238	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5OLZ_1	5OLZ	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	A	434	294	90	0.0392	0.1509	0.9922	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5OLV_1	5OLV	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.998	A	434	294	91	0.0392	0.1415	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5OLO_1	5OLO	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	A	434	294	87	0.0423	0.1714	0.9896	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5OLH_1	5OLH	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	A	434	294	93	0.0392	0.1226	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5NM4_1	5NM4	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.7	A	433	293	86	0.0425	0.181	0.9921	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5NM2_1	5NM2	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.948	A	433	294	90	0.0392	0.1429	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5N2S_1	5N2S	BRIL	P0ABE7	P30542	TERMINAL_N	X-RAY DIFFRACTION	3.303	A	436	280	103	0.1054	0.0283	1.0	False	Soluble cytochrome b562,Adenosine receptor A1
5N2R_1	5N2R	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	A	433	294	90	0.0423	0.1429	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,ADENOSINE RECEPTOR A2A SOLUBLE CYTOCHROME B562 ADENOSINE RECEPTOR A2A,Adenosine receptor A2a
5MZP_1	5MZP	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	A	433	294	93	0.0392	0.1226	0.9949	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5MZJ_1	5MZJ	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	A	434	294	90	0.0423	0.1509	0.9948	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5K2D_1	5K2D	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	A	447	297	94	0.0262	0.1132	0.9899	False	Adenosine receptor A2a/Soluble cytochrome b562 chimera
5K2C_1	5K2C	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	A	447	297	95	0.0262	0.1038	0.9899	False	Adenosine receptor A2a/Soluble cytochrome b562 chimera
5K2B_1	5K2B	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	447	297	93	0.0262	0.1226	0.9898	False	Adenosine receptor A2a/Soluble cytochrome b562 chimera
5K2A_1	5K2A	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	447	297	97	0.0262	0.0849	0.9899	False	Adenosine receptor A2a/Soluble cytochrome b562 chimera
5JTB_1	5JTB	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	A	447	296	89	0.0295	0.1604	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5ZKB_1	5ZKB	BRIL	P0ABE7	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.95	A	421	281	99	0.057	0.0571	0.9974	False	Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2
5ZK8_1	5ZK8	BRIL	P0ABE7	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	421	273	95	0.0839	0.0952	0.9973	False	Muscarinic acetylcholine receptor M2,Redesigned apo-cytochrome b562,Muscarinic acetylcholine receptor M2
5ZK3_1	5ZK3	BRIL	P0ABE7	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	A	421	274	105	0.0805	0.0	0.9974	False	Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2
5YC8_1	5YC8	BRIL	P0ABE7	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	421	278	105	0.0671	0.0	0.9974	False	Muscarinic acetylcholine receptor M2,Redesigned apo-cytochrome b562,Muscarinic acetylcholine receptor M2
5XJM_1	5XJM	BRIL	P0ABE7	P50052	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	A	422	283	92	0.0841	0.1321	1.0	False	Type-2 angiotensin II receptor,Soluble cytochrome b562,Type-2 angiotensin II receptor
5WIV_1	5WIV	BRIL	P0ABE7	P21917	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.143	A	422	274	105	0.1246	0.0	1.0	False	D(4) dopamine receptor, soluble cytochrome b562 chimera
5WIU_1	5WIU	BRIL	P0ABE7	P21917	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.962	A	422	270	103	0.1374	0.019	1.0	False	D(4) dopamine receptor, soluble cytochrome b562 chimera
5VRA_1	5VRA	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.35	A	447	296	91	0.0295	0.1415	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562 chimera
5UVI_1	5UVI	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	A	447	297	90	0.0262	0.1509	0.9898	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5UNH_1	5UNH	BRIL	P0ABE7	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.9	A	411	279	106	0.0731	0.0	1.0	False	Soluble cytochrome b562,Type-2 angiotensin II receptor
5UNG_1	5UNG	BRIL	P0ABE7	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.8	B	411	300	106	0.0033	0.0	0.9902	False	Chimera protein of Type-2 angiotensin II receptor and Soluble cytochrome b562
5UNF_1	5UNF	BRIL	P0ABE7	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	411	286	100	0.0498	0.0566	1.0	False	Chimera protein of Type-2 angiotensin II receptor and Soluble cytochrome b562
5UIG_1	5UIG	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.5	A	444	288	99	0.0588	0.066	1.0	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5TVN_1	5TVN	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	A	402	294	99	0.0101	0.0571	1.0	False	Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562
5TUD_1	5TUD	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	457	279	94	0.0852	0.1132	1.0	False	5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera
5OM4_1	5OM4	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	A	434	296	90	0.0327	0.1509	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5OM1_1	5OM1	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	A	434	294	90	0.0392	0.1509	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6A93_1	6A93	BRIL	P0ABE7	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	376	283	81	0.0139	0.0	0.9838	False	5-hydroxytryptamine receptor 2A,Soluble cytochrome b562
6A94_1	6A94	BRIL	P0ABE7	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	A	376	283	81	0.0139	0.0	0.9838	False	5-hydroxytryptamine receptor 2A,Soluble cytochrome b562
6DS0_1	6DS0	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.188	A	410	283	85	0.0691	0.1981	1.0	False	5HT2B receptor, BRIL chimera
6DRZ_1	6DRZ	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.102	A	411	295	88	0.0328	0.1287	0.9871	False	5HT2B receptor, BRIL chimera
6DRY_1	6DRY	BRIL	P0ABE7	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.918	A	411	290	95	0.0492	0.0594	0.9872	False	5HT2B receptor, BRIL chimera
6CC4_1	6CC4	BRIL	P0ABE7	P0AF16	TERMINAL_N	X-RAY DIFFRACTION	3.5	A	614	504	104	0.0079	0.0095	1.0	False	soluble cytochrome b562, lipid II flippase MurJ chimera
6C1Q_1	6C1Q	BRIL	P0ABE7	P21730	TERMINAL_N	X-RAY DIFFRACTION	2.9	B	422	284	90	0.0596	0.1509	1.0	False	Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera
6BQG_1	6BQG	BRIL	P0ABE7	P28335	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	452	286	92	0.0435	0.1321	1.0	False	5-hydroxytryptamine receptor 2C,Soluble cytochrome b562
6AQF_1	6AQF	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.51	A	432	295	91	0.0328	0.1415	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
5ZKC_1	5ZKC	BRIL	P0ABE7	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.3	A	421	278	105	0.0671	0.0	0.9974	False	Muscarinic acetylcholine receptor M2,Apo-cytochrome b562,Muscarinic acetylcholine receptor M2
6M98_1	6M98	BRIL	P0ABE7	C0HAK2	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.21	A	234	111	93	0.075	0.1143	1.0	False	Chimera protein of High affinity copper uptake protein 1 and Soluble cytochrome b562
6M97_1	6M97	BRIL	P0ABE7	C0HAK2	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.03	A	234	115	93	0.0336	0.1226	1.0	False	Chimera protein of High affinity copper uptake protein 1 and Soluble cytochrome b562
6LW5_1	6LW5	BRIL	P0ABE7	P25090	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	427	320	106	0.0	0.0	0.9977	False	Soluble cytochrome b562,N-formyl peptide receptor 2
6LPL_1	6LPL	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	A	447	296	91	0.0295	0.1415	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6LPK_1	6LPK	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.8	A	447	296	91	0.0295	0.1415	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6LPJ_1	6LPJ	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.8	A	447	296	91	0.0295	0.1415	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6KO5_1	6KO5	BRIL	P0ABE7	Q92847	TERMINAL_N	X-RAY DIFFRACTION	3.3	A	424	293	105	0.0786	0.0094	1.0	False	Chimera of Soluble cytochrome b562 and Growth hormone secretagogue receptor type 1
6JZH_1	6JZH	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.25	A	447	297	90	0.0262	0.1509	0.9923	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6IQL_1	6IQL	BRIL	P0ABE7	P51436	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.5	A	396	251	89	0.1068	0.1442	0.9971	False	D(4) dopamine receptor,Soluble cytochrome b562,D(4) dopamine receptor
6GT3_1	6GT3	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	A	433	294	90	0.0392	0.1429	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6G7O_1	6G7O	BRIL	P0ABE7	Q9NUN7	TERMINAL_C	X-RAY DIFFRACTION	2.7	A	350	243	105	0.0	0.0	0.9943	False	Alkaline ceramidase 3,Soluble cytochrome b562
6WH4_1	6WH4	BRIL	P0ABE7	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.4	A	448	281	97	0.0475	0.0849	1.0	False	5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 fusion
6WGT_1	6WGT	BRIL	P0ABE7	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.4	A	448	278	99	0.0576	0.066	1.0	False	5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 fusion
6S0Q_1	6S0Q	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.65	A	433	294	90	0.0392	0.1429	0.9897	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6PS7_1	6PS7	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.85	A	442	297	91	0.0262	0.1415	0.9898	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6OS0_1	6OS0	BRIL	P0ABE7	P30556	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	A	425	306	89	0.0377	0.101	1.0	False	Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein
7DFP_1	7DFP	BRIL	P0ABE7	P14416	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	A	360	254	79	0.0487	0.0125	0.994	True	D(2) dopamine receptor,Soluble cytochrome b562
7C6A_3	7C6A	BRIL	P0ABE7	P50052	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.4	A	422	281	92	0.0906	0.1321	1.0	False	Type-2 angiotensin II receptor,Soluble cytochrome b562,Type-2 angiotensin II receptor
7C61_3	7C61	BRIL	P0ABE7	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	399	265	97	0.0925	0.0849	1.0	False	5-hydroxytryptamine receptor 1B,Soluble cytochrome b562,5-hydroxytryptamine receptor 1B
6ZDV_1	6ZDV	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.13	A	433	294	85	0.0392	0.1905	0.9921	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6ZDR_1	6ZDR	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.918	A	433	294	86	0.0392	0.181	0.9922	False	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a
6WQA_1	6WQA	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	A	447	297	89	0.0262	0.1524	0.9872	False	Adenosine receptor A2a/Soluble cytochrome b562 chimera
7INU_1	7INU	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.46	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INT_1	7INT	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.25	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INO_1	7INO	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.08	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INN_1	7INN	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.32	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INL_1	7INL	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INK_1	7INK	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.19	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INJ_1	7INJ	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INI_1	7INI	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.57	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INH_1	7INH	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.3	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INF_1	7INF	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.26	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IND_1	7IND	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.67	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera,Soluble cytochrome b562,Adenosine receptor A2a
7INC_1	7INC	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.18	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7INA_1	7INA	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.15	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IN9_1	7IN9	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.54	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOK_1	7IOK	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.3	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOJ_1	7IOJ	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.26	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOI_1	7IOI	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.04	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOH_1	7IOH	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.07	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOG_1	7IOG	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.98	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOF_1	7IOF	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	A	433	294	85	0.0392	0.1584	0.9819	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOE_1	7IOE	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.08	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOD_1	7IOD	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.4	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOC_1	7IOC	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.07	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOB_1	7IOB	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.11	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IOA_1	7IOA	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IO9_1	7IO9	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.91	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera,Soluble cytochrome b562,Adenosine receptor A2a
7IO8_1	7IO8	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.27	A	433	294	85	0.0392	0.1584	0.9819	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IO7_1	7IO7	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.23	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IO6_1	7IO6	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.36	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
7IO5_1	7IO5	BRIL	P0ABE7	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.84	A	433	298	85	0.0261	0.1584	0.9821	False	Adenosine receptor A2a/Soluble cytochrome b562/Adenosine receptor A2a chimera
