entity_id	pdb_id	fusion_partner	fusion_accession	target_accession	topology	method	resolution	representative_chain	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	n_alternative_entries	status	description
5YGP_1	5YGP	MBP	P0AEX9	Q93038	TERMINAL_N	X-RAY DIFFRACTION	2.09	A	463	88	364	0.0	0.0055	0.9978	2	CONFIRMATORY_FINAL	TNFRSF25 death domain
4IFP_1	4IFP	MBP	P0AEX9	Q9C000	TERMINAL_N	X-RAY DIFFRACTION	1.9948	A	466	84	366	0.0	0.0	0.9825	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein,NACHT, LRR and PYD domains-containing protein 1
1HSJ_1	1HSJ	MBP	P0AEX9	Q9F0R1	TERMINAL_N	X-RAY DIFFRACTION	2.3	A	487	115	361	0.0	0.0	0.9774	0	CONFIRMATORY_FINAL	FUSION PROTEIN CONSISTING OF STAPHYLOCOCCUS ACCESSORY REGULATOR PROTEIN R AND MALTOSE BINDING PROTEIN
5W0R_1	5W0R	MBP	P0AEX9	Q9GZX7	TERMINAL_N	X-RAY DIFFRACTION	2.4	A	549	169	366	0.0	0.0	0.9763	2	CONFIRMATORY_FINAL	MBP fused activation-induced cytidine deaminase
6XDS_1	6XDS	MBP	P0AEX9	Q9NZC2	TERMINAL_N	X-RAY DIFFRACTION	1.466	A	492	115	363	0.0336	0.0082	0.9856	0	CONFIRMATORY_FINAL	Sugar ABC transporter substrate-binding protein,Triggering receptor expressed on myeloid cells 2
5EDU_1	5EDU	MBP	P0AEX9	Q9UBN7	TERMINAL_N	X-RAY DIFFRACTION	2.79	A	745	357	359	0.0	0.0191	0.9944	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Histone deacetylase 6 chimera
6KI0_1	6KI0	MBP	P0AEX9	Q9ULZ3	TERMINAL_N	X-RAY DIFFRACTION	2.0	A	466	84	358	0.0	0.0	0.963	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Apoptosis-associated speck-like protein containing a CARD
4BL9_1	4BL9	MBP	P0AEX9	Q9UMX1	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	756	353	366	0.0459	0.0027	0.9958	3	CONFIRMATORY_FINAL	MALTOSE-BINDING PERIPLASMIC PROTEIN, SUPPRESSOR OF FUSED HOMOLOG
1R6Z_1	1R6Z	MBP	P0AEX9	Q9VUQ5	TERMINAL_N	X-RAY DIFFRACTION	2.8	A	509	126	365	0.0735	0.0027	0.9879	0	CONFIRMATORY_FINAL	Chimera of Maltose-binding periplasmic protein and Argonaute 2
4IKM_1	4IKM	MBP	P0AEX9	Q9Y2G2	TERMINAL_N	X-RAY DIFFRACTION	2.4606	A	469	87	366	0.0	0.0	0.9784	0	CONFIRMATORY_FINAL	Maltose-binding periplasmic protein, Caspase recruitment domain-containing protein 8
4LOG_1	4LOG	MBP	P0AEX9	Q9Y5X4	TERMINAL_N	X-RAY DIFFRACTION	2.7	A	574	183	364	0.0567	0.0082	0.9892	0	CONFIRMATORY_FINAL	Maltose ABC transporter periplasmic protein and NR2E3 protein chimeric construct
6VLS_1	6VLS	MBP	P0AEX9	W8GI72	TERMINAL_N	X-RAY DIFFRACTION	3.2	A	966	578	366	0.0203	0.0	0.9906	0	CONFIRMATORY_FINAL	Maltose/maltodextrin-binding periplasmic protein,Vip3Aa
6ZX9_3	6ZX9	T4L	P00720	A4UDG5	TERMINAL_N	X-RAY DIFFRACTION	2.5197288426	C	258	91	163	0.0109	0.0	0.9883	0	CONFIRMATORY_FINAL	Vpr protein fused to T4 lysozyme
4TN3_1	4TN3	T4L	P00720	G9MAP5	TERMINAL_C	X-RAY DIFFRACTION	3.1989	A	400	196	163	0.0968	0.0	1.0	0	CONFIRMATORY_FINAL	TRIM5/cyclophilin A fusion protein/T4 Lysozyme chimera
5B2G_1	5B2G	T4L	P00720	O14493	TERMINAL_N	X-RAY DIFFRACTION	3.5	A	364	171	160	0.0656	0.0062	0.997	0	CONFIRMATORY_FINAL	Endolysin,Claudin-4
5TZR_1	5TZR	T4L	P00720	O14842	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	A	491	273	160	0.0839	0.0	0.9908	3	CONFIRMATORY_FINAL	Free fatty acid receptor 1,Endolysin,Free fatty acid receptor 1
2RH1_1	2RH1	T4L	P00720	P07550	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.4	A	500	281	161	0.1536	0.0	1.0	20	CONFIRMATORY_FINAL	beta-2-adrenergic receptor/T4-lysozyme chimera
3UON_1	3UON	T4L	P00720	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	A	467	278	160	0.0945	0.0	1.0	0	CONFIRMATORY_FINAL	Human M2 muscarinic acetylcholine, receptor T4 lysozyme fusion protein
5DSG_1	5DSG	T4L	P00720	P08173	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	A	422	290	100	0.0461	0.0099	0.9949	0	CONFIRMATORY_FINAL	Muscarinic acetylcholine receptor M4,Endolysin,Endolysin,Muscarinic acetylcholine receptor M4
5ZHP_1	5ZHP	T4L	P00720	P08483	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	A	418	289	100	0.0493	0.0	0.9873	1	CONFIRMATORY_FINAL	Muscarinic acetylcholine receptor M3,Endolysin,Endolysin,Muscarinic acetylcholine receptor M3
6XYR_1	6XYR	T4L	P00720	P0DP23	TERMINAL_N	X-RAY DIFFRACTION	2.079	A	361	145	163	0.0203	0.0	0.8851	0	CONFIRMATORY_FINAL	T4Lnano,Endolysin,Calmodulin,Endolysin,Calmodulin-1
6ZFZ_1	6ZFZ	T4L	P00720	P11229	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.17	A	455	277	160	0.0	0.0	0.9798	3	CONFIRMATORY_FINAL	Muscarinic acetylcholine receptor M1,Endolysin,Muscarinic acetylcholine receptor M1
4XES_1	4XES	T4L	P00720	P20789	TERMINAL_C	X-RAY DIFFRACTION	2.6	A	541	307	160	0.1328	0.0	0.9915	3	CONFIRMATORY_FINAL	Neurotensin receptor type 1, Endolysin chimera
3V2Y_1	3V2Y	T4L	P00720	P21453	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	A	520	291	160	0.0673	0.0	0.9912	1	CONFIRMATORY_FINAL	Sphingosine 1-phosphate receptor 1, Lysozyme chimera (E.C.3.2.1.17)
5X93_1	5X93	T4L	P00720	P24530	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	A	464	313	101	0.0657	0.0	0.9628	3	CONFIRMATORY_FINAL	Endothelin B receptor,Endolysin,Endothelin B receptor
6J20_1	6J20	T4L	P00720	P25103	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	A	441	289	101	0.1135	0.0	0.9799	1	CONFIRMATORY_FINAL	Substance-P receptor,Endolysin
3VW7_1	3VW7	T4L	P00720	P25116	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	A	484	282	160	0.0874	0.0	1.0	0	CONFIRMATORY_FINAL	Proteinase-activated receptor 1, Lysozyme
3EML_1	3EML	T4L	P00720	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	A	488	288	160	0.0464	0.0	1.0	3	CONFIRMATORY_FINAL	Human Adenosine A2A receptor/T4 lysozyme chimera
7F8Y_1	7F8Y	T4L	P00720	P32238	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	A	534	278	160	0.1003	0.0	1.0	2	CONFIRMATORY_FINAL	fusion protein of Cholecystokinin receptor type A and Endolysin
