entity_id	fusion_partner	target_accession	topology	method	resolution	entity_length	target_modelled	fusion_modelled	target_disorder	fusion_disorder	align_coverage_of_modelled	e9_excluded	e9_sole_reason	exclusions
1APC_1	BRIL	None	None	SOLUTION NMR	None	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E2_method=SOLUTION NMR;E3_no_resolution;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
11TL_1	BRIL	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.9	475	278	95	0.2147	0.0952	0.9589	True	False	E3_resolution=3.90>3.5;E9_target_disorder=0.21>0.2
11TK_1	BRIL	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.54	475	278	95	0.2147	0.0952	0.9589	True	False	E3_resolution=3.54>3.5;E9_target_disorder=0.21>0.2
11TH_3	BRIL	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.5	475	285	95	0.1949	0.0952	0.9596	False	False	
11TF_1	BRIL	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.4	475	285	95	0.1949	0.0952	0.9596	False	False	
11TD_1	BRIL	P51679	INTERNAL_INSERTION	ELECTRON MICROSCOPY	3.7	475	285	95	0.1949	0.0952	0.9596	False	False	E3_resolution=3.70>3.5
3M4C_1	BRIL	None	None	X-RAY DIFFRACTION	1.9	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4L6R_1	BRIL	P47871	TERMINAL_N	X-RAY DIFFRACTION	3.3	425	292	106	0.0641	0.0	1.0	False	False	
4NC3_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	430	287	83	0.059	0.217	1.0	True	True	E9_fusion_disorder=0.22>0.2
4N6H_1	BRIL	P41143	TERMINAL_N	X-RAY DIFFRACTION	1.8	414	303	105	0.0	0.0094	1.0	False	False	
4JKV_1	BRIL	Q99835	TERMINAL_N	X-RAY DIFFRACTION	2.45	475	346	105	0.0546	0.0	0.9934	False	False	
4JEB_1	BRIL	None	None	X-RAY DIFFRACTION	2.3	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4JEA_1	BRIL	None	None	X-RAY DIFFRACTION	1.22	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4JE9_1	BRIL	None	None	X-RAY DIFFRACTION	2.12	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4IB4_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	430	285	90	0.0656	0.1509	1.0	False	False	
4IAR_1	BRIL	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	401	273	106	0.0651	0.0	1.0	False	False	
4IAQ_1	BRIL	P28222	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	403	273	94	0.0714	0.1132	1.0	False	False	
4EIY_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.8	447	296	91	0.0295	0.1415	0.9923	False	False	
4EA3_1	BRIL	P41146	TERMINAL_N	X-RAY DIFFRACTION	3.013	434	278	0	0.064	1.0	1.0	True	False	E7_fusion_modelled=0<50;E9_fusion_disorder=1.00>0.2
3U8P_1	BRIL	P42212	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.75	347	226	106	0.0342	0.0	0.9852	False	False	
3TOM_1	BRIL	None	None	X-RAY DIFFRACTION	2.3	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3TOL_1	BRIL	None	None	X-RAY DIFFRACTION	2.0	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3NMK_1	BRIL	None	None	X-RAY DIFFRACTION	2.8	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3NMJ_1	BRIL	None	None	X-RAY DIFFRACTION	3.1	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3NMI_1	BRIL	None	None	X-RAY DIFFRACTION	2.01	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3M79_1	BRIL	None	None	X-RAY DIFFRACTION	2.1	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3M4B_1	BRIL	None	None	X-RAY DIFFRACTION	2.5	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3M15_1	BRIL	None	None	X-RAY DIFFRACTION	2.6	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3L1M_1	BRIL	None	None	X-RAY DIFFRACTION	2.3	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3IQ6_1	BRIL	None	None	X-RAY DIFFRACTION	2.35	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
3IQ5_1	BRIL	None	None	X-RAY DIFFRACTION	2.05	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4YAY_1	BRIL	P30556	TERMINAL_N	X-RAY DIFFRACTION	2.9	414	285	104	0.0656	0.0095	0.9898	False	False	
5IUB_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	433	294	90	0.0329	0.1429	0.9897	False	False	
5IUA_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.2	433	295	90	0.0296	0.1509	0.9923	False	False	
5IU8_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.002	433	294	90	0.0329	0.1509	0.9922	False	False	
5IU7_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	433	296	90	0.0263	0.1429	0.9847	False	False	
5IU4_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.72	433	294	90	0.0423	0.1429	0.9897	False	False	
5DHH_1	BRIL	P41146	TERMINAL_N	X-RAY DIFFRACTION	3.004	424	282	0	0.0505	1.0	1.0	True	False	E7_fusion_modelled=0<50;E9_fusion_disorder=1.00>0.2
5DHG_1	BRIL	P41146	TERMINAL_N	X-RAY DIFFRACTION	3.0	424	281	0	0.0539	1.0	1.0	True	False	E7_fusion_modelled=0<50;E9_fusion_disorder=1.00>0.2
5BU7_1	BRIL	None	None	X-RAY DIFFRACTION	2.46	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5AWI_1	BRIL	None	None	X-RAY DIFFRACTION	1.85	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4ZUD_1	BRIL	P30556	TERMINAL_N	X-RAY DIFFRACTION	2.8	410	268	105	0.1096	0.0094	0.992	False	False	
4Z36_1	BRIL	Q92633	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	459	289	90	0.0677	0.0217	0.9921	False	False	
4Z35_1	BRIL	Q92633	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	464	289	90	0.0677	0.0722	0.9921	False	False	
4Z34_1	BRIL	Q92633	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	464	292	90	0.0581	0.0722	0.9922	False	False	
4U9E_1	BRIL	None	None	X-RAY DIFFRACTION	2.8	106	0	91	1.0	0.1415	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4U9D_1	BRIL	None	None	X-RAY DIFFRACTION	2.5	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
4RWD_1	BRIL	P41143	TERMINAL_N	X-RAY DIFFRACTION	2.7	411	295	106	0.0167	0.0	1.0	False	False	
4RWA_1	BRIL	P41143	TERMINAL_N	X-RAY DIFFRACTION	3.28	411	286	105	0.0467	0.0094	1.0	False	False	
4QIN_1	BRIL	Q99835	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	468	341	106	0.0501	0.0	1.0	False	False	
4QIM_1	BRIL	Q99835	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.61	468	351	106	0.0223	0.0	1.0	False	False	
4PY0_1	BRIL	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	466	283	106	0.1701	0.0	1.0	False	False	
4PXZ_1	BRIL	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	466	286	106	0.1613	0.0	1.0	False	False	
4OR2_1	BRIL	Q13255	TERMINAL_N	X-RAY DIFFRACTION	2.8	389	255	105	0.0893	0.0094	1.0	False	False	
4O9R_1	BRIL	Q99835	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.204	468	335	106	0.0669	0.0	1.0	False	False	
4NTJ_1	BRIL	Q9H244	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.62	466	273	96	0.1994	0.0943	1.0	False	False	
5L31_1	BRIL	None	None	X-RAY DIFFRACTION	2.4	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5L7D_1	BRIL	Q99835	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	638	478	97	0.0627	0.0762	0.9779	False	False	
5L7I_1	BRIL	Q99835	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.3	638	462	89	0.0941	0.1524	0.977	False	False	
5NLX_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.14	433	293	86	0.0425	0.181	0.9921	False	False	
5OLG_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.87	434	294	92	0.0392	0.1238	0.9897	False	False	
5OLZ_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	434	294	90	0.0392	0.1509	0.9922	False	False	
5OLV_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.998	434	294	91	0.0392	0.1415	0.9923	False	False	
5OLO_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	434	294	87	0.0423	0.1714	0.9896	False	False	
5OLH_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	434	294	93	0.0392	0.1226	0.9923	False	False	
5NM4_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.7	433	293	86	0.0425	0.181	0.9921	False	False	
5NM2_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.948	433	294	90	0.0392	0.1429	0.9897	False	False	
5NJ6_1	BRIL	P55085	INTERNAL_INSERTION	X-RAY DIFFRACTION	4.0	437	295	105	0.0694	0.0	0.9975	False	False	E3_resolution=4.00>3.5
5NDZ_1	BRIL	None	None	X-RAY DIFFRACTION	3.6	619	0	105	1.0	0.0	0.1888	True	False	E1_multi_uniprot_n=3;E3_resolution=3.60>3.5;E6_align_coverage=0.19<0.8;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5NDD_1	BRIL	None	None	X-RAY DIFFRACTION	2.801	619	0	105	1.0	0.0	0.1852	True	False	E1_multi_uniprot_n=3;E6_align_coverage=0.19<0.8;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5N2S_1	BRIL	P30542	TERMINAL_N	X-RAY DIFFRACTION	3.303	436	280	103	0.1054	0.0283	1.0	False	False	
5N2R_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	433	294	90	0.0423	0.1429	0.9897	False	False	
5MZP_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	433	294	93	0.0392	0.1226	0.9949	False	False	
5MZJ_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	434	294	90	0.0423	0.1509	0.9948	False	False	
5L32_1	BRIL	None	None	X-RAY DIFFRACTION	2.1	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5L31_2	BRIL	None	None	X-RAY DIFFRACTION	2.4	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5K2D_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	447	297	94	0.0262	0.1132	0.9899	False	False	
5K2C_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.9	447	297	95	0.0262	0.1038	0.9899	False	False	
5K2B_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	447	297	93	0.0262	0.1226	0.9898	False	False	
5K2A_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	447	297	97	0.0262	0.0849	0.9899	False	False	
5JTB_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.8	447	296	89	0.0295	0.1604	0.9923	False	False	
5ZKB_1	BRIL	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.95	421	281	99	0.057	0.0571	0.9974	False	False	
5ZK8_1	BRIL	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	421	273	95	0.0839	0.0952	0.9973	False	False	
5ZK3_1	BRIL	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.6	421	274	105	0.0805	0.0	0.9974	False	False	
5YO6_1	BRIL	None	None	X-RAY DIFFRACTION	1.204	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5YO5_1	BRIL	None	None	X-RAY DIFFRACTION	2.2	107	0	106	1.0	0.0	0.9907	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5YO4_1	BRIL	None	None	X-RAY DIFFRACTION	1.37	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5YO3_1	BRIL	None	None	X-RAY DIFFRACTION	1.7	107	0	106	1.0	0.0	0.9907	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5YM7_1	BRIL	None	None	X-RAY DIFFRACTION	1.56225177343	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5YC8_1	BRIL	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.5	421	278	105	0.0671	0.0	0.9974	False	False	
5XZJ_1	BRIL	None	None	X-RAY DIFFRACTION	1.98	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5XZI_1	BRIL	None	None	X-RAY DIFFRACTION	2.65	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5XJM_1	BRIL	P50052	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	422	283	92	0.0841	0.1321	1.0	False	False	
5WIV_1	BRIL	P21917	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.143	422	274	105	0.1246	0.0	1.0	False	False	
5WIU_1	BRIL	P21917	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.962	422	270	103	0.1374	0.019	1.0	False	False	
5VRA_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.35	447	296	91	0.0295	0.1415	0.9923	False	False	
5UVI_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	447	297	90	0.0262	0.1509	0.9898	False	False	
5UNH_1	BRIL	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.9	411	279	106	0.0731	0.0	1.0	False	False	
5UNG_1	BRIL	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.8	411	300	106	0.0033	0.0	0.9902	False	False	
5UNF_1	BRIL	P50052	TERMINAL_N	X-RAY DIFFRACTION	2.8	411	286	100	0.0498	0.0566	1.0	False	False	
5UIG_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.5	444	288	99	0.0588	0.066	1.0	False	False	
5UEN_1	BRIL	P30542	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.2	416	292	78	0.0068	0.2571	0.9635	True	True	E9_fusion_disorder=0.26>0.2
5TVN_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	402	294	99	0.0101	0.0571	1.0	False	False	
5TUD_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	457	279	94	0.0852	0.1132	1.0	False	False	
5OM4_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	434	296	90	0.0327	0.1509	0.9923	False	False	
5OM1_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.1	434	294	90	0.0392	0.1509	0.9897	False	False	
6A93_1	BRIL	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	376	283	81	0.0139	0.0	0.9838	False	False	
6A94_1	BRIL	P28223	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.9	376	283	81	0.0139	0.0	0.9838	False	False	
6DYB_1	BRIL	None	None	X-RAY DIFFRACTION	2.75	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6DY8_1	BRIL	None	None	X-RAY DIFFRACTION	1.9	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6DY6_1	BRIL	None	None	X-RAY DIFFRACTION	1.8	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6DY4_1	BRIL	None	None	X-RAY DIFFRACTION	1.9	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6DS0_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.188	410	283	85	0.0691	0.1981	1.0	False	False	
6DRZ_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.102	411	295	88	0.0328	0.1287	0.9871	False	False	
6DRY_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.918	411	290	95	0.0492	0.0594	0.9872	False	False	
6DRX_1	BRIL	P41595	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.1	410	286	77	0.0592	0.2376	0.9864	True	True	E9_fusion_disorder=0.24>0.2
6DO1_1	BRIL	P30556	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.901	425	299	5	0.0597	0.9495	1.0	True	False	E7_fusion_modelled=5<50;E9_fusion_disorder=0.95>0.2
6DHZ_1	BRIL	None	None	X-RAY DIFFRACTION	2.8	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6DHY_1	BRIL	None	None	X-RAY DIFFRACTION	2.22	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6CMO_1	BRIL	P08100	TERMINAL_N	ELECTRON MICROSCOPY	4.5	463	321	0	0.0	1.0	0.9938	True	False	E3_resolution=4.50>3.5;E7_fusion_modelled=0<50;E9_fusion_disorder=1.00>0.2
6CC4_1	BRIL	P0AF16	TERMINAL_N	X-RAY DIFFRACTION	3.5	614	504	104	0.0079	0.0095	1.0	False	False	
6CBV_3	BRIL	None	None	X-RAY DIFFRACTION	1.872	106	0	103	1.0	0.0283	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6C1R_1	BRIL	P21730	TERMINAL_N	X-RAY DIFFRACTION	2.2	422	290	81	0.0397	0.2358	1.0	True	True	E9_fusion_disorder=0.24>0.2
6C1Q_1	BRIL	P21730	TERMINAL_N	X-RAY DIFFRACTION	2.9	422	284	90	0.0596	0.1509	1.0	False	False	
6BQH_1	BRIL	P28335	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.7	452	287	64	0.0401	0.3962	1.0	True	True	E9_fusion_disorder=0.40>0.2
6BQG_1	BRIL	P28335	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.0	452	286	92	0.0435	0.1321	1.0	False	False	
6B73_1	BRIL	P41145	TERMINAL_N	X-RAY DIFFRACTION	3.1	418	278	1	0.0885	0.9906	0.9929	True	False	E7_fusion_modelled=1<50;E9_fusion_disorder=0.99>0.2
6AQF_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.51	432	295	91	0.0328	0.1415	0.9897	False	False	
6AK3_1	BRIL	P43115	TERMINAL_C	X-RAY DIFFRACTION	2.9	418	266	5	0.1609	0.9398	0.9963	True	False	E7_fusion_modelled=5<50;E9_fusion_disorder=0.94>0.2
6AI5_1	BRIL	None	None	X-RAY DIFFRACTION	1.81	106	0	106	1.0	0.0	1.0	True	False	E1_not_chimeric_single_uniprot;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
5ZKC_1	BRIL	P08172	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.3	421	278	105	0.0671	0.0	0.9974	False	False	
6ME6_1	BRIL	None	None	X-RAY DIFFRACTION	2.8	460	0	106	1.0	0.0	0.2366	True	False	E1_multi_uniprot_n=3;E6_align_coverage=0.24<0.8;E8_target_modelled=0<80;E9_target_disorder=1.00>0.2
6M98_1	BRIL	C0HAK2	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.21	234	111	93	0.075	0.1143	1.0	False	False	
6M97_1	BRIL	C0HAK2	INTERNAL_INSERTION	X-RAY DIFFRACTION	3.03	234	115	93	0.0336	0.1226	1.0	False	False	
6LW5_1	BRIL	P25090	TERMINAL_N	X-RAY DIFFRACTION	2.8	427	320	106	0.0	0.0	0.9977	False	False	
6LPL_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	2.0	447	296	91	0.0295	0.1415	0.9923	False	False	
6LPK_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.8	447	296	91	0.0295	0.1415	0.9923	False	False	
6LPJ_1	BRIL	P29274	INTERNAL_INSERTION	X-RAY DIFFRACTION	1.8	447	296	91	0.0295	0.1415	0.9923	False	False	
6KO5_1	BRIL	Q92847	TERMINAL_N	X-RAY DIFFRACTION	3.3	424	293	105	0.0786	0.0094	1.0	False	False	
